Links,Name,Price,Location,Mileage,Transmission,Exterior Colour,Engine,Drivetrain,Fuel Type,Major Options
"ViewedSave this listing2021 Jeep Gladiator Rubicon Crew Cab 4WD$59,833 ·$1,154/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $59,833 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.11,030 kmVancouver, BC (5 km)GREAT DEAL$12,552 below marketRequest Info","2021 Jeep Gladiator Rubicon Crew Cab 4WD - $59,833","$59,833","Vancouver, BC
5 km away","11,030 kilometres",Automatic,Black,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Remote Start, Navigation System, Heated Seats"
"ViewedSave this listing2021 Ford Mustang Mach-E$58,500 ·$1,129/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $58,500 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.2,632 kmBurnaby, BC (5 km)GREAT DEAL$15,053 below marketRequest InfoAuthorized Ford Dealer","2021 Ford Mustang Mach-E - $58,500","$58,500","Burnaby, BC
5 km away","2,632 kilometres",Automatic,Black,,,,"Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring"
"ViewedSave this listing2019 Nissan Pathfinder$33,799 ·$652/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $33,799 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.50,146 kmRichmond, BC (8 km)GREAT DEAL$8,898 below market(604) 265-6897Request Info","2019 Nissan Pathfinder - $33,799","$33,799","Richmond, BC
8 km away","50,146 kilometres",Automatic,Gray,284 hp 3.5L V6,,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Navigation System, Alloy Wheels, Multi Zone Climate Control"
"ViewedSave this listing2021 MINI Cooper 2-Door Hatchback FWD$25,900 ·$500/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $25,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.16,500 kmLangley City, BC (28 km)GREAT DEAL$8,125 below market(778) 766-3807Request Info","2021 MINI Cooper 2-Door Hatchback FWD - $25,900","$25,900","Langley City, BC
28 km away","16,500 kilometres",Manual,Gray,134 hp 1.5L I3,Front-Wheel Drive,Gasoline,
"ViewedSave this listing2021 Kia Seltos EX AWD$29,990 ·$579/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $29,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.3,358 kmRichmond, BC (10 km)GREAT DEAL$5,997 below market(604) 200-2879Request Info","2021 Kia Seltos EX AWD - $29,990","$29,990",,"3,358 kilometres",Automatic,Gray,146 hp 2L I4,All-Wheel Drive,Gasoline,"Backup Camera, Sunroof/Moonroof, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay"
"Save this listing2018 Ford Escape SEL AWD$26,657 ·$515/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $26,657 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.7,540 kmRichmond, BC (8 km)GREAT DEAL$6,072 below marketRequest InfoAuthorized Ford Dealer","2018 Ford Escape SEL AWD - $26,657","$26,657","Richmond, BC
8 km away","7,540 kilometres",Automatic,Gray,179 hp 1.5L I4,All-Wheel Drive,Gasoline,"Leather Seats, Backup Camera, Parking Sensors, Heated Seats, Android Auto, CarPlay"
"ViewedSave this listing2020 Toyota Prius Prime Limited FWD$33,800 ·$652/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $33,800 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.48,990 kmSquamish, BC (56 km)GREAT DEAL$5,554 below marketRequest InfoAuthorized Toyota Dealer","2020 Toyota Prius Prime Limited FWD - $33,800","$33,800","Squamish, BC
56 km away","48,990 kilometres",Automatic,Black,1.8L I4,Front-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Heated Seats, CarPlay"
"Save this listing2017 RAM 1500 Outdoorsman Crew Cab 4WD$29,995 ·$579/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $29,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.107,000 kmSurrey, BC (10 km)GREAT DEAL$5,649 below market(604) 359-5766Request Info","2017 RAM 1500 Outdoorsman Crew Cab 4WD - $29,995","$29,995","Surrey, BC
10 km away","107,000 kilometres",8-Speed Automatic,Silver,395 hp 5.7L V8,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Parking Sensors, Alloy Wheels"
"ViewedSave this listing2016 RAM 3500 SLT Crew Cab LB 4WD$38,888 ·$751/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $38,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.119,163 kmRichmond, BC (11 km)GREAT DEAL$18,884 below market(604) 330-9868Request InfoAuthorized RAM Dealer","2016 RAM 3500 SLT Crew Cab LB 4WD - $38,888","$38,888","Richmond, BC
11 km away","119,163 kilometres",6-Speed Automatic,,383 hp 5.7L V8,Four-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Chrome Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Quick Order Package"
"Save this listing2017 Kia Sportage SX Turbo AWD$22,500 ·$434/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $22,500 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.45,000 kmBurnaby, BC (4 km)GREAT DEAL$5,172 below market(604) 373-0865Request Info","2017 Kia Sportage SX Turbo AWD - $22,500","$22,500","Burnaby, BC
4 km away","45,000 kilometres",Automatic,,2L I4,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Heated Seats"
"Save this listing2016 Ford Focus SE Hatchback$12,500 ·$242/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $12,500 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.14,000 kmBurnaby, BC (2 km)GREAT DEAL$5,820 below marketRequest Info","2016 Ford Focus SE Hatchback - $12,500","$12,500","Burnaby, BC
2 km away","14,000 kilometres",Automatic,Gray,160 hp 2L I4 Flex Fuel Vehicle,Front-Wheel Drive,Flex Fuel Vehicle,"Bluetooth, Backup Camera, Parking Sensors, Heated Seats"
"Save this listing2021 Audi Q3 2.0T quattro Premium AWD$43,973 ·$849/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $43,973 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.10,914 kmNanaimo, BC (72 km)GREAT DEAL$5,204 below marketRequest InfoAuthorized Audi Dealer","2021 Audi Q3 2.0T quattro Premium AWD - $43,973","$43,973","Nanaimo, BC
72 km away","10,914 kilometres",Automatic,Gray (Chronos Grey MET),184 hp 2L I4,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Convenience Package"
"Save this listing2021 Ford Escape SE AWD$28,900 ·$558/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $28,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.1,412 kmVictoria, BC (91 km)GREAT DEAL$7,760 below marketRequest Info","2021 Ford Escape SE AWD - $28,900","$28,900","Victoria, BC
91 km away","1,412 kilometres",Automatic,,1.5L I3,All-Wheel Drive,Gasoline,Heated Seats
"Save this listingNew Arrival2018 Audi A4 2.0T quattro Progressiv AWD$29,900 ·$577/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $29,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.41,304 kmPort Coquitlam, BC (16 km)GREAT DEAL$6,265 below market(604) 800-6802Request Info","2018 Audi A4 2.0T quattro Progressiv AWD - $29,900","$29,900","Port Coquitlam, BC
16 km away","41,304 kilometres",Automatic,Gray,,,,"Bluetooth, Backup Camera, Sunroof/Moonroof, Heated Seats, Alloy Wheels, Multi Zone Climate Control"
"Save this listing2020 Chevrolet Colorado ZR2 Crew Cab 4WD$48,997 ·$945/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $48,997 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.44,000 kmLangley, BC (29 km)GREAT DEAL$6,290 below market(604) 229-9534Request Info","2020 Chevrolet Colorado ZR2 Crew Cab 4WD - $48,997","$48,997","Langley, BC
29 km away","44,000 kilometres",Automatic,Red,308 hp 3.6L V6,Four-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Off Road Package, Heated Seats, Android Auto, CarPlay"
"ViewedSave this listing2019 Honda Odyssey Touring FWD$41,600 ·$803/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $41,600 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.24,399 kmNorth Vancouver, BC (12 km)GREAT DEAL$6,750 below marketRequest Info","2019 Honda Odyssey Touring FWD - $41,600","$41,600","North Vancouver, BC
12 km away","24,399 kilometres",,Gray,280 hp 3.5L V6,Front-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats"
"Save this listing2015 Ford Mustang GT Premium Coupe RWD$29,888 ·$577/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $29,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.53,023 kmVictoria, BC (91 km)GREAT DEAL$6,252 below marketRequest Info","2015 Ford Mustang GT Premium Coupe RWD - $29,888","$29,888","Victoria, BC
91 km away","53,023 kilometres",Manual,Triple Yellow Tri-Coat,435 hp 5L V8,Rear-Wheel Drive,Gasoline,
"Save this listing2021 Mercedes-Benz C-Class C 300 4MATIC Sedan AWD$57,467 ·$1,109/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $57,467 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.5,000 kmSurrey, BC (16 km)GREAT DEAL$4,945 below market(604) 330-6112Request InfoAuthorized Mercedes-Benz Dealer","2021 Mercedes-Benz C-Class C 300 4MATIC Sedan AWD - $57,467","$57,467","Surrey, BC
16 km away","5,000 kilometres",Automatic,Polar White,255 hp 2L I4,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay"
"ViewedSave this listing2021 Nissan Armada Platinum 4WD$75,761 ·$1,462/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $75,761 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.5,800 kmVictoria, BC (90 km)GREAT DEAL$7,778 below market(778) 400-6175Request InfoAuthorized Nissan Dealer","2021 Nissan Armada Platinum 4WD - $75,761","$75,761","Victoria, BC
90 km away","5,800 kilometres",7-Speed Automatic,Asgard Gray Metallic,400 hp 5.6L V8,Four-Wheel Drive,Gasoline,
"Save this listing2019 Chevrolet Camaro 2SS Convertible RWD$52,395 ·$1,011/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $52,395 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.17,932 kmAbbotsford, BC (49 km)GREAT DEAL$8,629 below market(604) 330-3617Request Info","2019 Chevrolet Camaro 2SS Convertible RWD - $52,395","$52,395","Abbotsford, BC
49 km away","17,932 kilometres",Automatic,Black,455 hp 6.2L V8,Rear-Wheel Drive,Gasoline,"Leather Seats, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, CarPlay"
"Save this listing2019 BMW X3 xDrive30i AWD$44,925 ·$867/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $44,925 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.32,430 kmVictoria, BC (93 km)GREAT DEAL$7,657 below marketRequest InfoAuthorized BMW Dealer","2019 BMW X3 xDrive30i AWD - $44,925","$44,925","Victoria, BC
93 km away","32,430 kilometres",Automatic,Alpine White,248 hp 2L I4,All-Wheel Drive,Gasoline,Premium Package
"Save this listing2020 Kia Sorento LX AWD$27,899 ·$539/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $27,899 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.48,603 kmRichmond, BC (8 km)GREAT DEAL$6,471 below market(604) 265-6897Request Info","2020 Kia Sorento LX AWD - $27,899","$27,899","Richmond, BC
8 km away","48,603 kilometres",Automatic,Snow White Pearl,185 hp 2.4L I4,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Alloy Wheels"
"Save this listing2020 Mercedes-Benz GLS-Class GLS 580 4MATIC AWD$128,595 ·$2,481/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $128,595 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.30,000 kmRichmond, BC (8 km)GREAT DEAL$21,633 below market(825) 251-5390Request InfoAuthorized Mercedes-Benz Dealer","2020 Mercedes-Benz GLS-Class GLS 580 4MATIC AWD - $128,595","$128,595","Richmond, BC
8 km away","30,000 kilometres",Automatic,Obsidian Black MET,4L V8,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Technology Package, Third Row Seating, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Heated Seats, Comfort Package"
"Save this listing1998 Toyota Camry CE$2,990 ·$58/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $2,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.202,000 kmNew Westminster, BC (7 km)GREAT DEAL$1,917 below marketRequest Info","1998 Toyota Camry CE - $2,990","$2,990","New Westminster, BC
7 km away","202,000 kilometres",Automatic,,133 hp 2.2L I4,Front-Wheel Drive,Gasoline,
"Image Not AvailableSave this listing2014 RAM 1500$14,500 ·$280/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $14,500 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.196,000 kmSurrey, BC (10 km)GREAT DEAL$10,771 below market(604) 670-3651Request Info","2014 RAM 1500 - $14,500","$14,500","Surrey, BC
10 km away","196,000 kilometres",Automatic,White,395 hp 5.7L V8,,Gasoline,Steel Wheels
"Save this listing2002 Toyota Sienna CE$3,990 ·$77/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $3,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.201,000 kmNew Westminster, BC (7 km)GREAT DEAL$2,359 below marketRequest Info","2002 Toyota Sienna CE - $3,990","$3,990","New Westminster, BC
7 km away","201,000 kilometres",Automatic,Brown,210 hp 3L V6,Front-Wheel Drive,Gasoline,
